dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,47.487357,22.090837,47.570204,9.579064,-0.024658,-0.076608,0.092018
0.100000,48.440872,22.179842,48.527863,9.576597,-0.024668,-0.000098,0.094134
0.100000,49.393950,22.270847,49.485276,9.574129,-0.024681,-0.000124,0.096262
0.100000,50.346664,22.363869,50.442521,9.572449,-0.016804,0.078765,0.098400
0.100000,51.298959,22.458912,51.399547,9.570254,-0.021941,-0.051372,0.100550
0.100000,52.250798,22.555981,52.356323,9.567758,-0.024960,-0.030184,0.102712
0.100000,53.202175,22.655088,53.312849,9.565260,-0.024982,-0.000224,0.104885
0.100000,54.153086,22.756240,54.269125,9.562760,-0.025007,-0.000249,0.107069
0.100000,55.103598,22.859456,55.225224,9.560993,-0.017661,0.073462,0.109265
0.100000,56.053654,22.964740,56.181096,9.558719,-0.022749,-0.050879,0.111473
0.100000,57.003223,23.072098,57.136714,9.556187,-0.025321,-0.025719,0.113692
0.100000,57.952299,23.181539,58.092079,9.553651,-0.025355,-0.000347,0.115923
0.100000,58.900876,23.293074,59.047191,9.551112,-0.025393,-0.000372,0.118166
0.100000,59.848974,23.406715,60.002076,9.548849,-0.022626,0.027662,0.120421
0.100000,60.796619,23.522475,60.956765,9.546895,-0.019542,0.030843,0.122688
0.100000,61.743744,23.640358,61.911197,9.544321,-0.025739,-0.061972,0.124968
0.100000,62.690340,23.760372,62.865371,9.541742,-0.025786,-0.000467,0.127259
0.100000,63.636402,23.882528,63.819287,9.539159,-0.025835,-0.000492,0.129563
0.100000,64.581923,24.006835,64.772944,9.536570,-0.025887,-0.000517,0.131878
0.100000,65.526917,24.133305,65.726363,9.534191,-0.023795,0.020919,0.134207
0.100000,66.471409,24.261954,66.679577,9.532136,-0.020545,0.032497,0.136548
0.100000,67.415337,24.392783,67.632528,9.529509,-0.026271,-0.057260,0.138901
0.100000,68.358692,24.525802,68.585215,9.526876,-0.026332,-0.000606,0.141267
0.100000,69.301468,24.661021,69.537639,9.524236,-0.026395,-0.000630,0.143645
0.100000,70.243657,24.798450,70.489798,9.521590,-0.026460,-0.000653,0.146037
0.100000,71.185251,24.938098,71.441692,9.518937,-0.026528,-0.000677,0.148441
0.100000,72.126266,25.079980,72.393342,9.516502,-0.024357,0.021713,0.150858
0.100000,73.066710,25.224107,73.344766,9.514240,-0.022620,0.017365,0.153288
0.100000,74.006533,25.370484,74.295920,9.511545,-0.026952,-0.043319,0.155731
0.100000,74.945729,25.519121,75.246805,9.508842,-0.027028,-0.000757,0.158187
0.100000,75.884287,25.670027,76.197418,9.506131,-0.027106,-0.000779,0.160656
0.100000,76.822201,25.823213,77.147759,9.503413,-0.027186,-0.000800,0.163139
0.100000,77.759462,25.978688,78.097828,9.500686,-0.027268,-0.000821,0.165635
0.100000,78.696061,26.136463,79.047623,9.497951,-0.027352,-0.000842,0.168144
0.100000,79.631990,26.296548,79.997143,9.495207,-0.027438,-0.000862,0.170667
0.100000,80.567284,26.458960,80.946434,9.492903,-0.023040,0.043979,0.173203
0.100000,81.501891,26.623703,81.895449,9.490158,-0.027450,-0.044101,0.175753
0.100000,82.435799,26.790786,82.844186,9.487367,-0.027905,-0.004544,0.178317
0.100000,83.368999,26.960219,83.792643,9.484568,-0.027997,-0.000927,0.180895
0.100000,84.301482,27.132012,84.740819,9.481758,-0.028092,-0.000944,0.183486
0.100000,85.233239,27.306176,85.688713,9.478940,-0.028188,-0.000962,0.186091
0.100000,86.164259,27.482720,86.636324,9.476111,-0.028286,-0.000979,0.188710
0.100000,87.094534,27.661656,87.583651,9.473273,-0.028385,-0.000995,0.191344
0.100000,88.024053,27.842992,88.530693,9.470424,-0.028486,-0.001011,0.193991
0.100000,88.952808,28.026739,89.477450,9.467565,-0.028589,-0.001026,0.196653
0.100000,89.880787,28.212908,90.423920,9.464696,-0.028693,-0.001041,0.199329
0.100000,90.807983,28.401509,91.370103,9.461837,-0.028590,0.001032,0.202019
0.100000,91.734410,28.592558,92.316024,9.459203,-0.026339,0.022511,0.204723
0.100000,92.660029,28.786058,93.261652,9.456284,-0.029192,-0.028534,0.207442
0.100000,93.584830,28.982020,94.206987,9.453354,-0.029300,-0.001076,0.210176
0.100000,94.508804,29.180455,95.152029,9.450413,-0.029409,-0.001087,0.212924
0.100000,95.431938,29.381372,96.096775,9.447461,-0.029518,-0.001098,0.215687
0.100000,96.354223,29.584782,97.041224,9.444498,-0.029629,-0.001107,0.218465
0.100000,97.275648,29.790695,97.985377,9.441524,-0.029741,-0.001116,0.221257
0.100000,98.196202,29.999121,98.929231,9.438539,-0.029853,-0.001124,0.224065
0.100000,99.115873,30.210071,99.872785,9.435542,-0.029966,-0.001131,0.226887
0.100000,100.034650,30.423554,100.816038,9.432534,-0.030080,-0.001137,0.229724
0.100000,100.952523,30.639580,101.758990,9.429515,-0.030194,-0.001143,0.232577
0.100000,101.869479,30.858161,102.701638,9.426484,-0.030309,-0.001147,0.235444
