dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,267.474646,91.140036,301.329906,10.893743,-0.017610,-0.002979,0.945750
0.100000,268.109985,92.024702,302.419076,10.891697,-0.020460,-0.028502,0.950209
0.100000,268.741260,92.912022,303.508040,10.889646,-0.020518,-0.000581,0.954658
0.100000,269.368475,93.801984,304.596815,10.887750,-0.018956,0.015622,0.959096
0.100000,269.991627,94.694556,305.685394,10.885788,-0.019623,-0.006677,0.963525
0.100000,270.610687,95.589677,306.773731,10.883366,-0.024219,-0.045957,0.967942
0.100000,271.225677,96.487354,307.861865,10.881341,-0.020248,0.039709,0.972349
0.100000,271.836594,97.387558,308.949793,10.879280,-0.020611,-0.003633,0.976745
0.100000,272.443423,98.290241,310.037486,10.876936,-0.023433,-0.028216,0.981130
0.100000,273.046159,99.195373,311.124940,10.874536,-0.024009,-0.005759,0.985503
0.100000,273.644817,100.102946,312.212175,10.872352,-0.021831,0.021776,0.989865
0.100000,274.239394,101.012933,313.299189,10.870135,-0.022174,-0.003429,0.994215
0.100000,274.829866,101.925269,314.385933,10.867446,-0.026893,-0.047186,0.998553
0.100000,275.416252,102.839952,315.472439,10.865055,-0.023905,0.029875,1.002879
0.100000,275.998557,103.756963,316.558711,10.862723,-0.023318,0.005879,1.007192
0.100000,276.576779,104.676271,317.644744,10.860330,-0.023931,-0.006132,1.011493
0.100000,277.150893,105.597806,318.730485,10.857409,-0.029209,-0.052785,1.015781
0.100000,277.720929,106.521582,319.815982,10.854970,-0.024398,0.048111,1.020056
0.100000,278.286886,107.447573,320.901232,10.852499,-0.024702,-0.003041,1.024318
0.100000,278.848765,108.375743,321.986223,10.849911,-0.025882,-0.011796,1.028567
0.100000,279.406545,109.306029,323.070913,10.846896,-0.030153,-0.042712,1.032803
0.100000,279.960256,110.238444,324.155345,10.844326,-0.025700,0.044527,1.037025
0.100000,280.509899,111.172962,325.239518,10.841728,-0.025982,-0.002813,1.041233
0.100000,281.055477,112.109547,326.323422,10.839038,-0.026892,-0.009106,1.045427
0.100000,281.596968,113.048134,327.407008,10.835862,-0.031765,-0.048730,1.049608
0.100000,282.134405,113.988740,328.490325,10.833172,-0.026895,0.048704,1.053774
0.100000,282.667791,114.931336,329.573371,10.830457,-0.027153,-0.002579,1.057926
0.100000,283.197132,115.875895,330.656143,10.827717,-0.027406,-0.002530,1.062064
0.100000,283.722407,116.822345,331.738585,10.824424,-0.032926,-0.055199,1.066187
0.100000,284.243644,117.770698,332.820741,10.821559,-0.028649,0.042771,1.070295
0.100000,284.760853,118.720933,333.902615,10.818738,-0.028213,0.004351,1.074389
0.100000,285.274040,119.673022,334.984204,10.815894,-0.028443,-0.002292,1.078467
0.100000,285.783199,120.626917,336.065480,10.812757,-0.031363,-0.029204,1.082531
0.100000,286.288334,121.582584,337.146433,10.809537,-0.032207,-0.008436,1.086580
0.100000,286.789467,122.540026,338.227096,10.806620,-0.029162,0.030445,1.090613
0.100000,287.286607,123.499217,339.307464,10.803684,-0.029367,-0.002051,1.094631
0.100000,287.779761,124.460131,340.387537,10.800727,-0.029567,-0.002001,1.098634
0.100000,288.268918,125.422702,341.467267,10.797301,-0.034262,-0.046949,1.102621
0.100000,288.754098,126.386932,342.546682,10.794156,-0.031447,0.028158,1.106593
0.100000,289.235319,127.352806,343.625796,10.791138,-0.030179,0.012676,1.110548
0.100000,289.712588,128.320301,344.704606,10.788103,-0.030355,-0.001759,1.114489
0.100000,290.185915,129.289390,345.783111,10.785050,-0.030526,-0.001709,1.118413
0.100000,290.655291,130.260011,346.861267,10.781553,-0.034972,-0.044461,1.122321
0.100000,291.120737,131.232163,347.939097,10.778308,-0.032445,0.025269,1.126214
0.100000,291.582271,132.205835,349.016618,10.775205,-0.031029,0.014156,1.130090
0.100000,292.039903,133.181003,350.093827,10.772088,-0.031176,-0.001467,1.133950
0.100000,292.493642,134.157642,351.170722,10.768956,-0.031318,-0.001418,1.137794
0.100000,292.943494,135.135714,352.247288,10.765652,-0.033038,-0.017199,1.141622
0.100000,293.389460,136.115174,353.323496,10.762087,-0.035658,-0.026204,1.145433
0.100000,293.831566,137.096033,354.399388,10.758915,-0.031714,0.039440,1.149229
0.100000,294.269825,138.078268,355.474961,10.755732,-0.031832,-0.001178,1.153007
0.100000,294.704248,139.061857,356.550215,10.752537,-0.031945,-0.001129,1.156770
0.100000,295.134847,140.046776,357.625148,10.749332,-0.032053,-0.001080,1.160516
0.100000,295.561629,141.032991,358.699746,10.745986,-0.033465,-0.014126,1.164245
0.100000,295.984596,142.020453,359.773982,10.742359,-0.036269,-0.028035,1.167958
0.100000,296.403775,143.009178,360.847895,10.739126,-0.032325,0.039441,1.171654
0.100000,296.819180,143.999144,361.921484,10.735885,-0.032409,-0.000845,1.175334
0.100000,297.230822,144.990327,362.994747,10.732636,-0.032489,-0.000797,1.178997
0.100000,297.638716,145.982708,364.067685,10.729380,-0.032564,-0.000749,1.182643
0.100000,298.042873,146.976263,365.140297,10.726117,-0.032634,-0.000701,1.186273
0.100000,298.443302,147.970957,366.212564,10.722676,-0.034408,-0.017739,1.189886
0.100000,298.840009,148.966754,367.284473,10.719089,-0.035867,-0.014595,1.193483
0.100000,299.233020,149.963663,368.356055,10.715812,-0.032767,0.031006,1.197063
0.100000,299.622350,150.961664,369.427308,10.712531,-0.032814,-0.000473,1.200626
0.100000,300.008011,151.960736,370.498232,10.709245,-0.032857,-0.000426,1.204172
0.100000,300.390018,152.960859,371.568828,10.705956,-0.032895,-0.000380,1.207701
0.100000,300.768384,153.962013,372.639094,10.702663,-0.032928,-0.000333,1.211214
0.100000,301.143124,154.964178,373.709031,10.699367,-0.032957,-0.000287,1.214711
0.100000,301.514251,155.967333,374.778637,10.696061,-0.033067,-0.001108,1.218190
0.100000,301.881768,156.971424,375.847873,10.692363,-0.036976,-0.039082,1.221653
0.100000,302.245701,157.976469,376.916780,10.689069,-0.032938,0.040376,1.225099
0.100000,302.606066,158.982448,377.985358,10.685775,-0.032945,-0.000070,1.228528
0.100000,302.962877,159.989344,379.053606,10.682480,-0.032948,-0.000025,1.231941
0.100000,303.316150,160.997138,380.121524,10.679185,-0.032946,0.000019,1.235337
0.100000,303.665898,162.005812,381.189113,10.675892,-0.032939,0.000063,1.238716
0.100000,304.012137,163.015348,382.256373,10.672599,-0.032929,0.000107,1.242079
0.100000,304.354882,164.025727,383.323304,10.669307,-0.032914,0.000151,1.245426
0.100000,304.694148,165.036933,384.389906,10.666018,-0.032894,0.000195,1.248755
0.100000,305.029950,166.048949,385.456179,10.662731,-0.032870,0.000238,1.252068
0.100000,305.362302,167.061757,386.522123,10.659447,-0.032842,0.000281,1.255365
0.100000,305.691218,168.075329,387.587728,10.656045,-0.034017,-0.011748,1.258645
0.100000,306.016711,169.089645,388.652990,10.652621,-0.034235,-0.002177,1.261909
0.100000,306.338801,170.104705,389.717926,10.649360,-0.032617,0.016177,1.265156
0.100000,306.657504,171.120492,390.782536,10.646103,-0.032569,0.000480,1.268387
0.100000,306.972836,172.136990,391.846822,10.642851,-0.032517,0.000521,1.271602
0.100000,307.284811,173.154184,392.910782,10.639605,-0.032461,0.000562,1.274800
0.100000,307.593446,174.172058,393.974419,10.636365,-0.032400,0.000603,1.277982
0.100000,307.898756,175.190596,395.037732,10.633131,-0.032336,0.000643,1.281148
0.100000,308.200757,176.209784,396.100722,10.629905,-0.032268,0.000683,1.284298
0.100000,308.499463,177.229607,397.163391,10.626685,-0.032196,0.000723,1.287431
0.100000,308.794892,178.250050,398.225738,10.623473,-0.032119,0.000762,1.290548
0.100000,309.087057,179.271099,399.287765,10.620269,-0.032039,0.000801,1.293650
0.100000,309.375976,180.292739,400.349472,10.617074,-0.031955,0.000840,1.296735
0.100000,309.661664,181.314956,401.410861,10.613887,-0.031867,0.000878,1.299805
0.100000,309.944137,182.337737,402.471932,10.610709,-0.031776,0.000917,1.302858
0.100000,310.223409,183.361068,403.532686,10.607541,-0.031680,0.000954,1.305896
0.100000,310.499498,184.384936,404.593124,10.604383,-0.031581,0.000992,1.308918
0.100000,310.772419,185.409326,405.653248,10.601235,-0.031478,0.001029,1.311924
0.100000,311.042186,186.434227,406.713058,10.598098,-0.031372,0.001066,1.314915
0.100000,311.308817,187.459626,407.772555,10.594972,-0.031261,0.001103,1.317890
0.100000,311.572327,188.485510,408.831741,10.591857,-0.031147,0.001139,1.320849
0.100000,311.832732,189.511866,409.890616,10.588754,-0.031030,0.001175,1.323793
0.100000,312.090046,190.538682,410.949183,10.585664,-0.030909,0.001211,1.326721
0.100000,312.344287,191.565947,412.007441,10.582585,-0.030784,0.001246,1.329634
0.100000,312.595469,192.593648,413.065393,10.579520,-0.030656,0.001281,1.332532
0.100000,312.843609,193.621774,414.123040,10.576467,-0.030525,0.001315,1.335414
0.100000,313.088721,194.650314,415.180383,10.573428,-0.030390,0.001350,1.338281
0.100000,313.330822,195.679256,416.237423,10.570403,-0.030251,0.001383,1.341133
0.100000,313.569927,196.708589,417.294162,10.567392,-0.030110,0.001417,1.343970
0.100000,313.806051,197.738302,418.350602,10.564396,-0.029965,0.001450,1.346792
0.100000,314.039211,198.768385,419.406743,10.561414,-0.029816,0.001483,1.349599
0.100000,314.269421,199.798828,420.462588,10.558447,-0.029665,0.001516,1.352392
0.100000,314.496697,200.829619,421.518137,10.555496,-0.029510,0.001548,1.355169
0.100000,314.721054,201.860749,422.573394,10.552561,-0.029352,0.001580,1.357932
0.100000,314.942509,202.892208,423.628358,10.549642,-0.029191,0.001611,1.360680
