dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,61.258706,3.432544,62.000000,10.000000,0.000000,0.000000,0.118166
0.100000,62.251584,3.551553,63.000000,10.000000,0.000000,0.000000,0.120421
0.100000,63.244238,3.672811,64.000000,10.000000,0.000000,0.000000,0.122688
0.100000,64.236598,3.796324,65.000000,10.000000,0.000000,0.000000,0.124968
0.100000,65.228657,3.922103,66.000000,10.000000,0.000000,0.000000,0.127259
0.100000,66.220411,4.050158,67.000000,10.000000,0.000000,0.000000,0.129563
0.100000,67.211853,4.180502,68.000000,10.000000,0.000000,0.000000,0.131878
0.100000,68.203001,4.313150,69.000000,10.000000,0.000000,0.000000,0.134207
0.100000,69.193881,4.448117,70.000000,10.000000,0.000000,0.000000,0.136548
0.100000,70.184429,4.585407,71.000000,10.000000,0.000000,0.000000,0.138901
0.100000,71.174639,4.725033,72.000000,10.000000,0.000000,0.000000,0.141267
0.100000,72.164504,4.867006,73.000000,10.000000,0.000000,0.000000,0.143645
0.100000,73.154018,5.011338,74.000000,10.000000,0.000000,0.000000,0.146037
0.100000,74.143174,5.158040,75.000000,10.000000,0.000000,0.000000,0.148441
0.100000,75.131988,5.307129,76.000000,10.000000,0.000000,0.000000,0.150858
0.100000,76.120472,5.458619,77.000000,10.000000,0.000000,0.000000,0.153288
0.100000,77.108576,5.612516,78.000000,10.000000,0.000000,0.000000,0.155731
0.100000,78.096291,5.768831,79.000000,10.000000,0.000000,0.000000,0.158187
0.100000,79.083611,5.927577,80.000000,10.000000,0.000000,0.000000,0.160656
0.100000,80.070527,6.088766,81.000000,10.000000,0.000000,0.000000,0.163139
0.100000,81.057033,6.252411,82.000000,10.000000,0.000000,0.000000,0.165635
0.100000,82.043121,6.418522,83.000000,10.000000,0.000000,0.000000,0.168144
0.100000,83.028783,6.587114,84.000000,10.000000,0.000000,0.000000,0.170667
0.100000,84.014058,6.758205,85.000000,10.000000,0.000000,0.000000,0.173203
0.100000,84.998892,6.931802,86.000000,10.000000,0.000000,0.000000,0.175753
0.100000,85.983274,7.107914,87.000000,10.000000,0.000000,0.000000,0.178317
0.100000,86.967195,7.286556,88.000000,10.000000,0.000000,0.000000,0.180895
0.100000,87.950647,7.467740,89.000000,10.000000,0.000000,0.000000,0.183486
0.100000,88.933620,7.651477,90.000000,10.000000,0.000000,0.000000,0.186091
0.100000,89.916108,7.837781,91.000000,10.000000,0.000000,0.000000,0.188710
0.100000,90.898100,8.026664,92.000000,10.000000,0.000000,0.000000,0.191344
0.100000,91.879587,8.218139,93.000000,10.000000,0.000000,0.000000,0.193991
0.100000,92.860560,8.412217,94.000000,10.000000,0.000000,0.000000,0.196653
0.100000,93.841011,8.608913,95.000000,10.000000,0.000000,0.000000,0.199329
0.100000,94.820931,8.808239,96.000000,10.000000,0.000000,0.000000,0.202019
0.100000,95.800335,9.010212,97.000000,10.000000,0.000000,0.000000,0.204723
0.100000,96.779186,9.214841,98.000000,10.000000,0.000000,0.000000,0.207442
0.100000,97.757473,9.422136,99.000000,10.000000,0.000000,0.000000,0.210176
0.100000,98.735186,9.632112,100.000000,10.000000,0.000000,0.000000,0.212924
0.100000,99.712315,9.844781,101.000000,10.000000,0.000000,0.000000,0.215687
0.100000,100.688850,10.060156,102.000000,10.000000,0.000000,0.000000,0.218465
0.100000,101.664780,10.278250,103.000000,10.000000,0.000000,0.000000,0.221257
0.100000,102.640095,10.499075,104.000000,10.000000,0.000000,0.000000,0.224065
0.100000,103.614784,10.722644,105.000000,10.000000,0.000000,0.000000,0.226887
0.100000,104.588835,10.948970,106.000000,10.000000,0.000000,0.000000,0.229724
0.100000,105.562238,11.178067,107.000000,10.000000,0.000000,0.000000,0.232577
0.100000,106.534982,11.409946,108.000000,10.000000,0.000000,0.000000,0.235444
0.100000,107.507055,11.644621,109.000000,10.000000,0.000000,0.000000,0.238327
0.100000,108.478445,11.882105,110.000000,10.000000,0.000000,0.000000,0.241225
0.100000,109.449141,12.122410,111.000000,10.000000,0.000000,0.000000,0.244138
0.100000,110.419131,12.365549,112.000000,10.000000,0.000000,0.000000,0.247067
0.100000,111.388403,12.611536,113.000000,10.000000,0.000000,0.000000,0.250011
0.100000,112.356945,12.860383,114.000000,10.000000,0.000000,0.000000,0.252971
0.100000,113.324744,13.112103,115.000000,10.000000,0.000000,0.000000,0.255946
0.100000,114.291789,13.366709,116.000000,10.000000,0.000000,0.000000,0.258937
0.100000,115.258065,13.624214,117.000000,10.000000,0.000000,0.000000,0.261944
0.100000,116.223561,13.884630,118.000000,10.000000,0.000000,0.000000,0.264966
0.100000,117.188263,14.147971,119.000000,10.000000,0.000000,0.000000,0.268004
0.100000,118.152159,14.414249,120.000000,10.000000,0.000000,0.000000,0.271058
0.100000,119.115235,14.683477,121.000000,10.000000,0.000000,0.000000,0.274128
0.100000,120.077477,14.955668,122.000000,10.000000,0.000000,0.000000,0.277213
0.100000,121.038873,15.230834,123.000000,10.000000,0.000000,0.000000,0.280315
0.100000,121.999407,15.508989,124.000000,10.000000,0.000000,0.000000,0.283433
0.100000,122.959067,15.790144,125.000000,10.000000,0.000000,0.000000,0.286567
0.100000,123.917839,16.074313,126.000000,10.000000,0.000000,0.000000,0.289717
0.100000,124.875707,16.361508,127.000000,10.000000,0.000000,0.000000,0.292883
0.100000,125.832657,16.651742,128.000000,10.000000,0.000000,0.000000,0.296065
0.100000,126.788676,16.945027,129.000000,10.000000,0.000000,0.000000,0.299264
0.100000,127.743748,17.241377,130.000000,10.000000,0.000000,0.000000,0.302479
0.100000,128.697858,17.540802,131.000000,10.000000,0.000000,0.000000,0.305710
0.100000,129.650992,17.843316,132.000000,10.000000,0.000000,0.000000,0.308958
0.100000,130.603140,18.148933,133.000000,10.000000,0.000000,0.000000,0.312222
0.100000,131.554299,18.457669,134.000000,10.000000,0.000000,0.000000,0.315502
0.100000,132.504436,18.769532,135.000000,10.000000,0.000000,0.000000,0.318799
0.100000,133.453536,19.084533,136.000000,10.000000,0.000000,0.000000,0.322113
0.100000,134.401582,19.402684,137.000000,10.000000,0.000000,0.000000,0.325443
0.100000,135.348559,19.723998,138.000000,10.000000,0.000000,0.000000,0.328790
0.100000,136.294450,20.048486,139.000000,10.000000,0.000000,0.000000,0.332153
0.100000,137.239240,20.376160,140.000000,10.000000,0.000000,0.000000,0.335533
0.100000,138.182911,20.707032,141.000000,10.000000,0.000000,0.000000,0.338929
0.100000,139.125446,21.041115,142.000000,10.000000,0.000000,0.000000,0.342342
